"cost1","c1_fraction","n","med_sinuosity","med_euclid","med_lcp","med_cost_euclid","med_frac_open","mean_frac_open"
1,0.1,4932,1.06181463866535,89.7907504932957,94.4974746830583,1.06181463866535,0,0.0937220560979971
1,0.3,4938,1.06181463866535,88.6002257333467,93.0330085889911,1.06181463866535,0.249999999999988,0.305120713075785
1,0.5,4945,1.06181463866535,89.0224690738243,93.2842712474619,1.06181463866535,0.507314717575549,0.505678410743295
1,0.7,4933,1.06181463866535,91.2414379544733,96.2132034355964,1.06181463866535,0.753734624987908,0.703249934328047
1,0.9,4940,1.06181463866535,89.0224690738243,94.142135623731,1.06181463866535,0.999999999999917,0.900019726128793
1.25,0.1,4932,1.06181463866535,92.1954445729289,98.2842712474619,1.06931756906678,0,0.0521390702300675
1.25,0.3,4939,1.06181463866535,89.0224690738243,93.2842712474619,1.0849271468414,0.0909090909090897,0.195456049146269
1.25,0.5,4935,1.06181463866535,90.5538513813742,96.2132034355964,1.13937518696726,0.299119474479433,0.367184111171885
1.25,0.7,4932,1.06181463866535,90.1387818865997,95.3553390593274,1.20197112232182,0.543329774350735,0.562823277894537
1.25,0.9,4937,1.06181463866535,88.6002257333467,93.2842712474619,1.27484059045068,0.914581799013985,0.827418615787191
1.5,0.1,4939,1.06181463866535,91.7877987534291,97.0710678118655,1.07060404539402,0,0.0426145458591072
1.5,0.3,4933,1.06938848071687,90,94.8528137423857,1.11076755462872,0.077984931186459,0.170593903115752
1.5,0.5,4942,1.07060404539402,90.1387818865997,96.5685424949238,1.21444060791083,0.249999999999989,0.328266771020001
1.5,0.7,4944,1.07060404539402,90.1387818865997,96.3908729652601,1.3410682211885,0.495387461111519,0.529359092744311
1.5,0.9,4944,1.06516760365481,90.1387818865997,95.7106781186548,1.5,0.879733555474137,0.805584763850388
2,0.1,4935,1.06541616283427,87.3212459828649,93.2842712474619,1.07278028806081,0,0.0350596203621059
2,0.3,4941,1.07624261981353,90.1387818865997,97.7817459305202,1.1366897076671,0.0455645767042404,0.132307847326628
2,0.5,4948,1.07966912753363,89.4427190999916,98.2842712474619,1.32834372788561,0.182899921236858,0.281986844803104
2,0.7,4947,1.07986989504333,87.4642784226795,97.4264068711929,1.58225396744416,0.414213562373081,0.467742394040697
2,0.9,4948,1.07437962789608,89.4427190999916,96.5685424949238,1.99288518723858,0.835935492079881,0.774569501662017
3,0.1,4934,1.06874657841954,90.8976446679237,97.7817459305202,1.07375061921325,0,0.0251157408366535
3,0.3,4932,1.07966912753363,88.4590300647707,99.142135623731,1.17037118810128,0.0244764551073937,0.110958927448492
3,0.5,4949,1.10511950586079,90.1387818865997,104.497474683058,1.54462497741734,0.151705158536266,0.243415496987721
3,0.7,4943,1.12066123124921,89.0224690738243,103.994949366117,2.07693037338168,0.366000989954237,0.43699244750325
3,0.9,4951,1.08176926914207,90.1387818865997,100.355339059327,2.84502849733974,0.747167293974944,0.725788630647427
4,0.1,4945,1.06874657841954,87.4642784226795,95.3553390593274,1.07375061921325,0,0.0233715672205114
4,0.3,4944,1.08105700875118,89.4427190999916,102.426406871193,1.20280587540555,0.0198671193926665,0.100448396906787
4,0.5,4951,1.12744934449814,88.6002257333467,106.568542494924,1.64785304725614,0.118985277204583,0.209630142015193
4,0.7,4933,1.1452852675908,90.1387818865997,107.78174593052,2.4256665808323,0.318254881313047,0.396884382376972
4,0.9,4937,1.09236067557535,90.1387818865997,102.78174593052,3.74737170921096,0.726540919660975,0.71262127366289
