"cost0","cost1","c1_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost","cells_open","cells_closed"
1,5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",112.710678118655,100.767058109285,1.11852702890677,7454.01026196955,16,127
1,5.5,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",123.095454429505,110.34491379307,1.11555168424298,9430.27975648287,16,143
1,6,0.3,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",60.6690475583121,55.1724568965349,1.09962562791222,2753.89316389254,11,69
1,1,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.066017177982,107.489534374282,1.00536315286,4245.64068711928,23,55
1,1.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",79.2964645562817,76.694197955256,1.03393042329674,2656.82189464356,19,41
1,2,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,2.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",114.953318805774,104.201727432898,1.1031805483244,9017.0047869617,23,124
1,3,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",122.852813742386,108.977061806602,1.12732727149873,6738.2007871116,11,89
1,3.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",91.6396103067893,84.2021377400835,1.088328785543,3367.18624052493,3,71
1,4,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",93.5685424949238,84.9058301885094,1.10202729644338,3824.0924066306,4,74
1,4.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",88.9827560572969,73.24616030892,1.21484533362578,3298.66627869822,5,71
1,5.5,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",119.124891681028,104.004807581188,1.14537870365306,9126.9494577953,21,128
1,6,0.4,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",97.39696961967,86.0232526704263,1.13221677390901,3766.17489920329,7,75
1,1,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",108.953318805774,101.87246929372,1.06950699792736,4683.49140882061,56,32
1,1.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",105.296464556282,97.0978887515068,1.08443619022198,6784.32839228761,26,109
1,2,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",109.124891681028,99.0201999594022,1.10204677152509,7767.73080206431,24,115
1,2.5,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",124.811183182043,104.201727432898,1.19778420432057,7691.03419417597,11,99
1,3,0.5,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",111.882250993909,97.0051545022222,1.15336397914139,5235.64599156031,18,77
