"","cost1","cost2","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
"1",1,1,1,"targ0.8_cl_size5_r_size5",98.2253967444162,91.3016976841066,1.07583319079416,4306.18570954834
"2",1,2,1,"targ0.8_cl_size5_r_size5",113.225396744416,98.4936546179499,1.14957046911915,10696.5398436464
"3",1,4,1,"targ0.8_cl_size5_r_size5",140.78174593052,119.519872824564,1.17789404057654,14676.2685348423
"4",1,8,1,"targ0.8_cl_size5_r_size5",109.597979746447,86.6833317310773,1.26434895334271,15133.2589354798
"5",1,1,2,"targ0.8_cl_size5_r_size5",100.325901807805,92.7038294786143,1.08221960594356,5660.70165366338
"6",1,2,2,"targ0.8_cl_size5_r_size5",107.78174593052,99.0454441153151,1.08820498401758,11766.574880202
"7",1,4,2,"targ0.8_cl_size5_r_size5",88.9116882454314,77.7946013551069,1.14290306392315,8847.4188232677
"8",1,8,2,"targ0.8_cl_size5_r_size5",102.568542494924,89.1852005660132,1.15006236285811,12500.6569089908
"9",1,1,3,"targ0.8_cl_size5_r_size5",92.4386001800126,90.0277734924062,1.02677869944001,3291.64956289777
"10",1,2,3,"targ0.8_cl_size5_r_size5",106.953318805774,97.6729235765982,1.0950150245262,6403.25254371918
"11",1,4,3,"targ0.8_cl_size5_r_size5",73.1126983722081,55.2268050859363,1.3238625384619,4483.70006923661
"12",1,8,3,"targ0.8_cl_size5_r_size5",126.367532368147,99.8098191562333,1.26608317133951,14411.3006070961
"13",1,1,4,"targ0.8_cl_size5_r_size5",86.0538238691624,81.2711510931154,1.05884834546723,3110.15504680755
"14",1,2,4,"targ0.8_cl_size5_r_size5",143.124891681028,116.726175299288,1.22615935383862,10318.181715199
"15",1,4,4,"targ0.8_cl_size5_r_size5",109.468037431535,89.9388681271896,1.217138259698,8471.50593926834
"16",1,8,4,"targ0.8_cl_size5_r_size5",91.6690475583121,73.6817480791546,1.24412150835284,13732.5305456861
"17",1,1,5,"targ0.8_cl_size5_r_size5",107.681240867132,102.800778207171,1.0474749583133,4711.08642997423
"18",1,2,5,"targ0.8_cl_size5_r_size5",97.1543289325507,84.9588135510378,1.14354620635311,5211.78472505133
"19",1,4,5,"targ0.8_cl_size5_r_size5",94.0121933088198,73.0547739713155,1.28687268741305,7890.73992464125
"20",1,8,5,"targ0.8_cl_size5_r_size5",135.953318805774,104.06248123123,1.30645855448788,25733.7819847359
"21",1,1,6,"targ0.8_cl_size5_r_size5",84.8822509939086,80.802227692063,1.05049394575351,4628.57676198235
"22",1,2,6,"targ0.8_cl_size5_r_size5",93.7401153701776,79.5110055275369,1.17895773985292,6471.31901895251
"23",1,4,6,"targ0.8_cl_size5_r_size5",129.296464556282,96.6022774058666,1.33844116338017,12583.8812480821
"24",1,8,6,"targ0.8_cl_size5_r_size5",123.468037431535,93.4719209174606,1.32091045331745,16396.7438989725
"25",1,1,7,"targ0.8_cl_size5_r_size5",86.4974746830583,80.0562302385017,1.08045900269557,3425.36110756821
"26",1,2,7,"targ0.8_cl_size5_r_size5",80.9116882454314,68.60029154457,1.17946566149595,4234.38746658107
"27",1,4,7,"targ0.8_cl_size5_r_size5",111.39696961967,94.6255779374689,1.17723951650033,8288.78104758732
"28",1,8,7,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"29",1,1,8,"targ0.8_cl_size5_r_size5",110.681240867132,105.209315176937,1.05200989742204,5025.63267789257
"30",1,2,8,"targ0.8_cl_size5_r_size5",81.6690475583121,71.8679344353238,1.13637671932548,4182.50155964731
"31",1,4,8,"targ0.8_cl_size5_r_size5",96.9827560572969,85.5862138431184,1.13315862102591,10540.0841051521
"32",1,8,8,"targ0.8_cl_size5_r_size5",125.225396744416,89.8943824718764,1.39302805471291,11174.9215981201
"33",1,1,9,"targ0.8_cl_size5_r_size5",91.9116882454314,85,1.08131397935802,3890.24545060317
"34",1,2,9,"targ0.8_cl_size5_r_size5",100.39696961967,88.4137998278549,1.13553506144003,5463.11312739661
"35",1,4,9,"targ0.8_cl_size5_r_size5",130.639610306789,95.9635347410671,1.36134637661364,12697.2591268159
"36",1,8,9,"targ0.8_cl_size5_r_size5",104.225396744416,72.1110255092798,1.4453462006445,10923.4778345031
"37",1,1,10,"targ0.8_cl_size5_r_size5",114.16652224137,109.635760589326,1.04132558234366,5207.73022436312
"38",1,2,10,"targ0.8_cl_size5_r_size5",125.852813742386,111.287914887467,1.13087583561654,8283.7649515402
"39",1,4,10,"targ0.8_cl_size5_r_size5",113.39696961967,93.4772699644143,1.21309672033467,10335.1808148062
"40",1,8,10,"targ0.8_cl_size5_r_size5",114.78174593052,101.138518873869,1.13489644903408,14557.136310227
"41",1,1,11,"targ0.8_cl_size5_r_size5",102.78174593052,97.082439194738,1.05870584611446,4426.72185619891
"42",1,2,11,"targ0.8_cl_size5_r_size5",90.3259018078045,81.939001702486,1.10235540989102,5059.74687007667
"43",1,4,11,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"44",1,8,11,"targ0.8_cl_size5_r_size5",83.0121933088198,65.9696900098826,1.25833838686197,11462.1925798923
"45",1,1,12,"targ0.8_cl_size5_r_size5",71.0121933088198,65.7419196555744,1.08016610529258,2255.04408153889
"46",1,2,12,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"47",1,4,12,"targ0.8_cl_size5_r_size5",134.124891681028,100.767058109285,1.33103907365803,13610.4460966907
"48",1,8,12,"targ0.8_cl_size5_r_size5",114.639610306789,91.8095855561934,1.24866711479296,17162.4605381671
"49",1,1,13,"targ0.8_cl_size5_r_size5",88.0832611206852,81.4370922860093,1.08161107731271,3584.7875144394
