"","cost0","cost1","c1_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
"25",1,1.5,0.3,2,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",86.2964645562817,82.2009732302483,1.04982290555809,2977.78660583548
"26",1,2.5,0.3,2,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",78.6690475583121,68.60029154457,1.14677424522606,2702.14747267879
"27",1,3.5,0.3,2,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",102.124891681028,93.4772699644143,1.09251042226528,4404.59386291692
"28",1,4.5,0.3,2,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",NA,NA,NA,NA
"29",1,1.5,0.4,2,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",112.438600180013,105.209315176937,1.06871335481006,5024.9858828587
"30",1,2.5,0.4,2,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",81.0832611206852,71.8679344353238,1.12822584589035,2826.45271925769
"31",1,3.5,0.4,2,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",93.8111831820431,84.3148859929254,1.11262895130896,5907.21454573638
"32",1,4.5,0.4,2,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",103.39696961967,89.0056178002265,1.16169037612598,4516.04539932167
"33",1,1.5,0.1,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",91.9116882454314,85,1.08131397935802,3838.8829688689
"34",1,2.5,0.1,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",91.4386001800126,89.196412483911,1.02513764437001,3147.43426742112
"35",1,3.5,0.1,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",102.124891681028,95.4148835350125,1.0703245436919,4388.98390579102
"36",1,4.5,0.1,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",77.5685424949238,72.9451848993475,1.0633812581592,2543.8005743
"37",1,1.5,0.2,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",114.16652224137,109.635760589326,1.04132558234366,5093.40728114815
"38",1,2.5,0.2,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",117.752308678997,111.287914887467,1.05808711393387,5595.85752818775
"39",1,3.5,0.2,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",99.539105243401,93.4772699644143,1.06484822760971,4121.91868224358
"40",1,4.5,0.2,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",110.02438661764,101.911726508778,1.07960477549326,4827.06796054225
"41",1,1.5,0.3,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",102.78174593052,97.082439194738,1.05870584611446,4282.00056559071
"42",1,2.5,0.3,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",95.6396103067893,88.8369292580512,1.07657492335173,5993.13986304658
"43",1,3.5,0.3,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",NA,NA,NA,NA
"44",1,4.5,0.3,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",85.8822509939086,80.6225774829855,1.06523822079532,5145.12226267456
"45",1,1.5,0.4,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",71.5979797464467,65.7419196555744,1.08907649976685,2185.5097966992
"46",1,2.5,0.4,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",NA,NA,NA,NA
"47",1,3.5,0.4,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",112.710678118655,100.767058109285,1.11852702890677,5654.11025682749
"48",1,4.5,0.4,3,"targ0.1_cl_size5_r_size5targ0.2_cl_size5_r_size5targ0.3_cl_size5_r_size5targ0.4_cl_size5_r_size5",108.468037431535,90.2108640907513,1.20238331075532,7175.35247372056
